text,lang
@MyPolishFace I'm sorry but I can't RT this.  IN THIS ECONOMY?,en
"RT @AnnInquirer: @DGPurser @realDonaldTrump Globalist Fauci understood and purposely downplayed, then could help quarantine &amp; crash economy…",en
".@realDonaldTrump Can't something be done? We all know you are about saving the economy, saving jobs! Can't somethi… https://t.co/sW7gtDsiWF",en
"RT @janmajit07: #Thread - 1/18

Understanding #TablighiJamaat In Detail!

Despite knowing that fact that
1) 136M jobs at risk in post-Coron…",en
"RT @LeonyMerks: 😃🍀🌞WOW ~ &amp; finally!

Democracy Dollars/""Vouchers"" are on the way - and it starts with Seattle

#HumanityForward 

Next we n…",en
"@balajis To counter this white swan event due to modernization, we either go back to much more distributed househol… https://t.co/vP9ZjAezU7",en
@420_hex @chrisjollyhale @anakin1138 @peterdaou @PeteButtigieg Imagine FOX revealing to ALL how Sanders &amp; the DSA a… https://t.co/L5MXrdQt11,en
RT @ABC: Pres. Trump's top economic adviser Larry Kudlow concedes he was caught off guard by the speed with which the pandemic moved and it…,en
"RT @tedcruz: How do we start the economy again?

@MichaelJKnowles and I discuss in the latest episode of #Verdict: https://t.co/dej3tAx5N4…",en
RT @vanguardngrnews: Covid-19: How Gov Emmanuel is mitigating global meltdown on A’Ibom economy https://t.co/JcTwKNY41D #vanguardnews https…,en
"RT @DocDellaire: Inside the mad rush to make masks to battle COVID-19 - In “two weeks, the McMaster project quickly evolved from establishi…",en
RT @MW_Unrest: Someone who is good at the economy please help https://t.co/IWyl9eIhcs,en
"RT @GisiAnthony: @montaga said it the best way I've heard it. "" The economy hasn't even recovered yet and your wanting to spend millions of…",en
"RT @daily_trust: The Federal Government has not issued any fifth generation (5G) mobile telecom licence in the country, the Minister of Com…",en
"RT @GOPLeader: Thank you, President @realDonaldTrump, for the work your administration is doing to keep small businesses afloat. We will ge…",en
"RT @MadeiNTurkiye: Despite the difficult times the world is in, Türkiye’s economy will grow stronger through its export businesses and swif…",en
@Ginalolaknits @GreyBeard_Biker This will be the standard Democrat talking point as we come out of the pandemic and… https://t.co/COBP5scNSl,en
RT @rontkim: Neoliberal corporate Dems created the mess that we are in now: a scarcity-driven economy that invests in prisons while devalui…,en
@TrumpSugar @2tall2fall4it @EveIynCharIes @GOPkleptocrat @LisaNicholo @alshadowdancer @Charles59177374 @BobBcomedy… https://t.co/Ig34jcoVNs,en
"RT @curtisogden: Important piece making the case for stronger local and regional food systems, featuring @FoodSolutionsNE and @VTfarm2plate…",en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
RT @TheRealOlaDiab: Surprised the news about the #StandForSudan national campaign hasn't been covered by international media. It's unpreced…,en
"RT @kurteichenwald: ...of what was called for, but Trump kept demanding the Fed cut rates more and more  in a strong economy - which is eco…",en
"RT @catturd2: Everyone I know is worried sick about losing their jobs - and the economy.

No one I know is worried about the virus?

You?",en
"RT @catturd2: Everyone I know is worried sick about losing their jobs - and the economy.

No one I know is worried about the virus?

You?",en
"Also, the economy is at nearly a complete stand still...where is this hazard pay coming from? It’s not that simple… https://t.co/pZzvRLBxTp",en
RT @davidschneider: “We have to protect the economy for the sake of the young” say people who’ve been happy to leave the young struggling e…,en
"RT @SenatorAbetz: The World Health Organisation, like the Chinese Communist Party, need to be brought to account.
https://t.co/EMhaw4H8bF",en
"RT @homemadeguitars: Of course.
Worldwide, without exception, major centers of the global high speed economy are also the centers of infect…",en
"RT @Females4DJT: I have completely had it!! 
None of the models are accurate and the economy will be the only thing destroyed. 
This virus…",en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
RT @GerberKawasaki: The real question is how quick people get hired back. My feeling is half will go back pretty quickly but half will not.…,en
RT @afbranco: If you like what the Coronavirus has done to our economy you’re going to love socialism https://t.co/g7ZcQLAiyL,en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
"RT @PatGarofalo: I'm thankful during this crisis that:
1) Minnesota took early action to save lives
2) Most of MN continues to practice soc…",en
"RT @BT_India: #Coronavirus outbreak: Govt grants lockdown relaxations for agriculture, farming sectors https://t.co/zQ9DpXHICk",en
RT @mitchellvii: My prayer is that this thing peaks in mid-April as expected and the economy can begin to heal. We can survive a month or t…,en
"RT @FoxNewsSunday: Working from home to bring you the latest on the coronavirus, economy, and what you can expect in the days ahead. Stay s…",en
"RT @my3monkees: ""The professionals did the models, I was never involved in a model ... at least this kind of model. I go to bed with one ev…",en
"RT @hale_razor: The Chinese virus is here: SHUT DOWN AND CRIPPLE THE US ECONOMY NOW!

When this is over, end reliance on China for goods: W…",en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
https://t.co/dmIoYCcxq4,und
"RT @MattWalshBlog: If we aren’t staying locked away until a vaccine is ready, then won’t the virus come surging back whenever we end the lo…",en
"RT @Cernovich: You get coffee in a.m.

Someone serves it, someone delivered beans, someone drove the truck to bring the beans in, someone p…",en
"#OpenTheEconomy 
@realDonaldTrump

We're done.

This is not going to last until 4/30.

We must start opening the ec… https://t.co/SLiipcZT67",en
@RealBristolNews @whyohwhyfather and make this government's agenda painfully obvious. Problem they have now is conv… https://t.co/0AEIDevtLC,en
RT @catturd2: 3 weeks of sniffles captivity and I’m more convinced than ever that it’s time to open up the economy and get everyone back to…,en
RT @MW_Unrest: Someone who is good at the economy please help https://t.co/IWyl9eIhcs,en
RT @rontkim: Neoliberal corporate Dems created the mess that we are in now: a scarcity-driven economy that invests in prisons while devalui…,en
"RT @mmccdenier: The Canadian dollar is set to remain at depressed levels over the coming months, with analysts in a Reuters poll slashing t…",en
RT @MichaelWitschel: Thousands of Americans are dead and dying. The rest of us are locked in our homes. Our economy is in ruins. Never forg…,en
How Gov Emmanuel is mitigating global meltdown on A’Ibom economy https://t.co/XupZbhHEwW https://t.co/UGzuQrXktH,en
RT @barronsonline: New York City’s battle with coronavirus--and the financial implications of such--is emblematic of the one that many stat…,en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
RT @TimJDillon: What will save the American economy is that Americans are suicidal and don’t value human life. This is a good thing! Cruise…,en
How AI May Help You Boost Your Business During COVID-19 https://t.co/IKrr9hVCtI,en
"RT @catturd2: Everyone I know is worried sick about losing their jobs - and the economy.

No one I know is worried about the virus?

You?",en
RT @Lisaseidel5: @BostonSprtsNews @marklevinshow I think we must consider that! The Democrats have tried for 3 years to hurt President Trum…,en
"RT @AlexBerenson: Reminder: this model and its friend from @imperialcollege are two of the main reasons that schools are closed, the econom…",en
How Gov Emmanuel is mitigating global meltdown on A’Ibom economy https://t.co/43mB5z8iwx https://t.co/cfihv1DHxw,en
RT @Lowcountry1Girl: WHAT‼️ Fauci Does 360: ‘I’ve looked at all the models. I’ve spent a lot of time on models. They don’t tell you anythin…,en
"RT @Wyn1745: Unemployment jumped to 4.4%, as #coronavirus ravages US economy.
Worth remembering: Unemployment rate @ 4.7% Dec. 2016
and 4.4…",en
"RT @sarahkendzior: Trump has openly said that he wants the economy to collapse. This is not incompetence, it is malice. Thirty seconds into…",en
"RT @MedicVet68: DT., FIRES INTEL IG, , Who took the complaint that got him IMPEACHED. ONE VERMIN...NO GOVT....ONE DICTATOR, THE ONE TO OVER…",en
"RT @RealJamesWoods: ""The real push [against] hydroxychloroquine is the fact that Donald Trump liked it. If Donald Trump said the sun came u…",en
RT @ptrmadurai: COVID-19 ஏற்படுத்தியுள்ள மருத்துவ நெருக்கடியை கடந்து நாம் சந்திக்கப் போகும் பொருளாதார நெருக்கடி குறித்து சிந்திக்க வேண்டிய…,ta
"RT @World_baker: The biggest export from UK at £92 billion, is food and drink. Why wouldn't we support our farmers and factories?
#Brexit…",en
How Gov Emmanuel is mitigating global meltdown on A’Ibom economy https://t.co/43mB5z8iwx https://t.co/yTeH6zIwMk,en
