text,lang
@FMoCDENigeria Anybody that is well incline in science knows that there is nothing scientifically similar between… https://t.co/NDeZacaL5B,en
"RT @TheOliveKnife: 5 April at 9 Pm 🪔

While an ordinary graduate invokes Quantum Physics and so-called science graduates and engineers/Doct…",en
@MarkKendall_GW Doesn’t take rocket science to figure this one out. By the way...  I get this impression that every… https://t.co/HLYrEQwiZx,en
"RT @philippeherlin: ABJECT : vaste étude sur l’efficacité de la #chloroquine au CHU d’Angers
&gt; sur 1.300 patients, la moitié vont recevoir…",fr
RT @MarkJacob16: This wasn't an honest difference of opinion. This was a conspiracy of science denial for political purposes. People are dy…,en
"RT @ReformedBroker: Bad News Wrapped in Protein

This is the science piece everyone will be reading this weekend 

https://t.co/2McNONXdbp…",en
RT @NorfolkBea: 10 years to save 'world’s most threatened sea turtle' https://t.co/B5Kb3CUSqn,en
RT @ericsson: Hundreds of Ericsson volunteers are taking on the COVID-19 Open Research Dataset Challenge. Here’s how they're developing inn…,en
@DrSidMukherjee I'm still trying to understand the science and politics behind social distancing recommemdations. C… https://t.co/2nO1sD0ISW,en
"RT @BorisJohnson_MP: Michael Gove saying how important it is to follow the science and listen to experts.

Oh, sorry, wrong video.
#COVID20…",en
RT @maddie_sofia: A moment of pure science joy to lift your spirits. One of our goofiest episodes of #NPRShortWave. An epic evolutionary ba…,en
"RT @minicnair: When Jonas Salk invented the polio vaccine, @rahulkanwal  it was for the world. Not for a community. Nobody called  polio a…",en
@EPAAWheeler should not be allowed to censor science. Join me and call on the @EPA to block his and… https://t.co/A1WSdI38SF,en
"RT @680NEWS: Pandemic experts say such projections are not really meant to predict the future, but rather to provide a general guide for po…",en
"@realDonaldTrump Where did you get your medical degree? Oh thats right, you don’t believe in science.",en
"RT @zuluagajorge: Un remedio para #COVIDー19 : Ivermectin, funciona in vitro, reduce duplicación del virus, existe en todo el mundo (es usad…",es
@asclvicepres We've made our complete curriculum programme for science for children aged 4-14 years free to schools… https://t.co/YrGoTaf6oG,en
RT @nerdclapback: As a practitioner of science I am all in on wearing a mask to do my part. As a Black man in America I am genuinely concer…,en
"RT @SPGatUCSF: Science policy work for all while you’re quarantined. 

You heard us! Sign this form👇to SAVE stem cell RESEARCH FUNDING in C…",en
"Please have a look at poster 108 - Iron dyshomeostasis and Ferroptosis in Alzheimer's disease. https://t.co/BAwOupYV39
#AATADPD",en
