text,lang
@mrdopeflo Tech... IT guy,en
"RT @Rob_Flaherty: So in the years before COVID, the Trump admin:

-Closed the White House pandemic office 

-Got rid of the office in Bejin…",en
Forget Chess—the Real Challenge Is Teaching AI to Play D&amp;D https://t.co/Q2aTEOC71H #ai #machinelearning #iot #tech,en
@Tech_Buddha @KCSOS @KcsosStrong Can you post your next set of training please? Thanks 😊,en
"RT @BTSARMY_Salon: This is cute😂
""My coworker's wearing a mask marked BT21 so I asked about it. The coworker didn't know. We guessed what B…",en
RT @CNN: Transparent solar cells mean every window in your house could ultimately generate energy https://t.co/6rReRtEAPs,en
@AbrahamWeint Inocente demais os aliados do Cebolinha; dominar o mundo? Pra quem está comendo milho soja trigo tran… https://t.co/aqi16xdMuq,pt
"C'est l' #oms qui l'a dit!
#gaming #jeuxvideos #Confinementotal #confinement #coronavirus 

https://t.co/2IGdTihWtr",fr
"RT @TheRickWilson: Trumps firing of Michael Atkinson can only be construed two ways; either as an admission of guilt or...oh,  right...

It…",en
Today I suggest UNCANNY VALLEY by Anna Weiner &amp; @fsgbooks. This memoir about book publishing and (vs?) the tech wor… https://t.co/4Nl57N9iIX,en
RT @jconnor19662: When you have observed Fake planes on numerous occassions then you can grasp just how advanced the tech they are using is…,en
RT @NeetuGarg6: I feel pleasantly surprised when my tech enthusiastic son (who would be a voter next year) wait for PM @narendramodi addres…,en
"@RaymondPurvis @HWpath That sounds exciting. I used to build GIS’s in my previous life, mainly for utility companie… https://t.co/mFyfZ7rDu6",en
"RT @BTSARMY_Salon: This is cute😂
""My coworker's wearing a mask marked BT21 so I asked about it. The coworker didn't know. We guessed what B…",en
RT @CNN: Jeff Bezos is donating $100 million to US food banks to help them feed a growing number of out-of-work Americans who are losing th…,en
"RT @GaniStambekov: a Chinese CCP agent is spreading virus by touching all computers, tablets, phones in USA tech store. This is how these C…",en
"RT @Haiderj19674294: #Edu_is_Not_Business

In today’s world two of the world’s biggest tech giants, Google and Microsoft are being run by I…",en
未だにメール来てないことから第十希望までには引っ掛かったと思うんだけど第十希望チキって興味的には微妙なとこ出しちゃったのでモヤモヤする,ja
